      JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16197.771,     0.886775,      1.01927,     -1.25691
       16198.817,     -2.14311,      1.06969,     -1.27422
       16198.827,     -1.84835,      1.00495,     -1.22867
       16198.838,     -1.06127,      1.02678,     -1.08519
       16198.848,     -1.20773,      1.07650,     -1.24249
       16199.719,     -1.83904,     0.851961,     -1.12893
       16199.729,     -2.29482,     0.887002,     -1.25575
       16199.740,    -0.843550,     0.971727,     -1.16448
       16199.750,     0.101443,     0.849677,     -1.14855
       16199.768,     -2.51357,     0.926420,     -1.32116
       16199.778,     0.345035,      1.00252,     -1.49122
       16199.789,    -0.508276,     0.909085,     -1.53368
       16199.799,     -1.13914,     0.992019,     -1.64557
       16200.762,     -1.67313,      1.00295,     -1.70036
       16200.773,     -2.95998,     0.929447,     -2.02363
       16200.783,     -3.07837,     0.985781,     -1.83392
       16200.794,     -2.30609,      1.02298,     -2.15876
       16201.640,     -3.52566,     0.876381,     -2.23651
       16201.651,     -1.44618,     0.918811,     -2.33215
       16201.661,     -3.45461,     0.925589,     -2.44872
       16201.672,    -0.426677,     0.960477,     -2.37376
       16201.738,     -3.22820,      1.04667,     -2.45794
       16201.749,     -1.36359,      1.00834,     -2.26360
       16201.759,     -2.19122,     0.971305,     -2.26419
       16201.770,     -2.95534,      1.01630,     -2.19209
       16202.643,     -2.13544,     0.987037,     -1.97548
       16202.653,     -4.00428,     0.877264,     -2.26745
       16202.664,    -0.168446,     0.978364,     -2.20487
       16202.675,     -3.53214,     0.898736,     -2.14740
       16202.746,    -0.653086,     0.882853,     -2.05935
       16202.757,     -1.07183,     0.933624,     -1.86749
       16202.767,     -3.63837,     0.949308,     -1.83279
       16202.778,     -2.53980,     0.917927,     -1.52519
       16203.631,    -0.731379,     0.869623,     -1.63634
       16203.642,     -1.22267,     0.945790,     -1.36644
       16203.653,    -0.844906,     0.954435,     -1.33625
       16203.663,     -1.75379,     0.922335,     -1.68090
       16203.717,    -0.620674,     0.986730,     -1.56524
       16203.729,     -1.39104,     0.978355,     -1.59509
       16203.739,    -0.563328,     0.879937,     -1.74003
